2026-08-13 07:32:37 | ======================================================================
2026-08-13 07:32:37 | Iniciando execução — k25_seed2024
2026-08-13 07:32:37 | Seed utilizada: 2024
2026-08-13 07:32:37 | Arquivo existe? True
2026-08-13 07:32:47 | Número de nós no grafo completo: 71368
2026-08-13 07:32:47 | Número de estações desejadas: 25
2026-08-13 07:32:48 | Componente gigante: 71073 de 71368 nós (295 nós de fora, em 257 componentes menores).
2026-08-13 07:32:52 | Geração 0 (inicial) — melhor fitness: 269752651
2026-08-13 07:33:05 | Geração 1/250 — melhor fitness: 269752651 | sem melhora há 1 geração(ões)
2026-08-13 07:33:18 | Geração 2/250 — melhor fitness: 267163700 | sem melhora há 0 geração(ões)
2026-08-13 07:33:30 | Geração 3/250 — melhor fitness: 263514717 | sem melhora há 0 geração(ões)
2026-08-13 07:33:42 | Geração 4/250 — melhor fitness: 261116235 | sem melhora há 0 geração(ões)
2026-08-13 07:33:56 | Geração 5/250 — melhor fitness: 257268386 | sem melhora há 0 geração(ões)
2026-08-13 07:34:08 | Geração 6/250 — melhor fitness: 257268386 | sem melhora há 1 geração(ões)
2026-08-13 07:34:22 | Geração 7/250 — melhor fitness: 252692592 | sem melhora há 0 geração(ões)
2026-08-13 07:34:34 | Geração 8/250 — melhor fitness: 252539663 | sem melhora há 0 geração(ões)
2026-08-13 07:34:47 | Geração 9/250 — melhor fitness: 247653021 | sem melhora há 0 geração(ões)
2026-08-13 07:35:00 | Geração 10/250 — melhor fitness: 246565206 | sem melhora há 0 geração(ões)
2026-08-13 07:35:12 | Geração 11/250 — melhor fitness: 246565206 | sem melhora há 1 geração(ões)
2026-08-13 07:35:25 | Geração 12/250 — melhor fitness: 245477116 | sem melhora há 0 geração(ões)
2026-08-13 07:35:38 | Geração 13/250 — melhor fitness: 242929152 | sem melhora há 0 geração(ões)
2026-08-13 07:35:49 | Geração 14/250 — melhor fitness: 242929152 | sem melhora há 1 geração(ões)
2026-08-13 07:36:02 | Geração 15/250 — melhor fitness: 242929152 | sem melhora há 2 geração(ões)
2026-08-13 07:36:15 | Geração 16/250 — melhor fitness: 242363205 | sem melhora há 0 geração(ões)
2026-08-13 07:36:28 | Geração 17/250 — melhor fitness: 240339401 | sem melhora há 0 geração(ões)
2026-08-13 07:36:40 | Geração 18/250 — melhor fitness: 240339401 | sem melhora há 1 geração(ões)
2026-08-13 07:36:52 | Geração 19/250 — melhor fitness: 239969487 | sem melhora há 0 geração(ões)
2026-08-13 07:37:04 | Geração 20/250 — melhor fitness: 235889808 | sem melhora há 0 geração(ões)
2026-08-13 07:37:17 | Geração 21/250 — melhor fitness: 235889808 | sem melhora há 1 geração(ões)
2026-08-13 07:37:29 | Geração 22/250 — melhor fitness: 235889808 | sem melhora há 2 geração(ões)
2026-08-13 07:37:42 | Geração 23/250 — melhor fitness: 235889808 | sem melhora há 3 geração(ões)
2026-08-13 07:37:54 | Geração 24/250 — melhor fitness: 235889808 | sem melhora há 4 geração(ões)
2026-08-13 07:38:07 | Geração 25/250 — melhor fitness: 235889808 | sem melhora há 5 geração(ões)
2026-08-13 07:38:19 | Geração 26/250 — melhor fitness: 235747253 | sem melhora há 0 geração(ões)
2026-08-13 07:38:31 | Geração 27/250 — melhor fitness: 235747253 | sem melhora há 1 geração(ões)
2026-08-13 07:38:44 | Geração 28/250 — melhor fitness: 235747253 | sem melhora há 2 geração(ões)
2026-08-13 07:38:56 | Geração 29/250 — melhor fitness: 235747253 | sem melhora há 3 geração(ões)
2026-08-13 07:39:09 | Geração 30/250 — melhor fitness: 235359162 | sem melhora há 0 geração(ões)
2026-08-13 07:39:21 | Geração 31/250 — melhor fitness: 232978260 | sem melhora há 0 geração(ões)
2026-08-13 07:39:34 | Geração 32/250 — melhor fitness: 232978260 | sem melhora há 1 geração(ões)
2026-08-13 07:39:46 | Geração 33/250 — melhor fitness: 232978260 | sem melhora há 2 geração(ões)
2026-08-13 07:39:59 | Geração 34/250 — melhor fitness: 232978260 | sem melhora há 3 geração(ões)
2026-08-13 07:40:11 | Geração 35/250 — melhor fitness: 232267838 | sem melhora há 0 geração(ões)
2026-08-13 07:40:23 | Geração 36/250 — melhor fitness: 232267838 | sem melhora há 1 geração(ões)
2026-08-13 07:40:36 | Geração 37/250 — melhor fitness: 232267838 | sem melhora há 2 geração(ões)
2026-08-13 07:40:49 | Geração 38/250 — melhor fitness: 232267838 | sem melhora há 3 geração(ões)
2026-08-13 07:41:01 | Geração 39/250 — melhor fitness: 232267838 | sem melhora há 4 geração(ões)
2026-08-13 07:41:13 | Geração 40/250 — melhor fitness: 232267838 | sem melhora há 5 geração(ões)
2026-08-13 07:41:25 | Geração 41/250 — melhor fitness: 230947161 | sem melhora há 0 geração(ões)
2026-08-13 07:41:38 | Geração 42/250 — melhor fitness: 230947161 | sem melhora há 1 geração(ões)
2026-08-13 07:41:50 | Geração 43/250 — melhor fitness: 230947161 | sem melhora há 2 geração(ões)
2026-08-13 07:42:02 | Geração 44/250 — melhor fitness: 230843192 | sem melhora há 0 geração(ões)
2026-08-13 07:42:15 | Geração 45/250 — melhor fitness: 230843192 | sem melhora há 1 geração(ões)
2026-08-13 07:42:27 | Geração 46/250 — melhor fitness: 230843192 | sem melhora há 2 geração(ões)
2026-08-13 07:42:40 | Geração 47/250 — melhor fitness: 230843192 | sem melhora há 3 geração(ões)
2026-08-13 07:42:52 | Geração 48/250 — melhor fitness: 230843192 | sem melhora há 4 geração(ões)
2026-08-13 07:43:04 | Geração 49/250 — melhor fitness: 230843192 | sem melhora há 5 geração(ões)
2026-08-13 07:43:17 | Geração 50/250 — melhor fitness: 230843192 | sem melhora há 6 geração(ões)
2026-08-13 07:43:30 | Geração 51/250 — melhor fitness: 229234845 | sem melhora há 0 geração(ões)
2026-08-13 07:43:43 | Geração 52/250 — melhor fitness: 229234845 | sem melhora há 1 geração(ões)
2026-08-13 07:43:56 | Geração 53/250 — melhor fitness: 229234845 | sem melhora há 2 geração(ões)
2026-08-13 07:44:07 | Geração 54/250 — melhor fitness: 229234845 | sem melhora há 3 geração(ões)
2026-08-13 07:44:20 | Geração 55/250 — melhor fitness: 229234845 | sem melhora há 4 geração(ões)
2026-08-13 07:44:33 | Geração 56/250 — melhor fitness: 229234845 | sem melhora há 5 geração(ões)
2026-08-13 07:44:46 | Geração 57/250 — melhor fitness: 229234845 | sem melhora há 6 geração(ões)
2026-08-13 07:44:58 | Geração 58/250 — melhor fitness: 229234845 | sem melhora há 7 geração(ões)
2026-08-13 07:45:10 | Geração 59/250 — melhor fitness: 229234845 | sem melhora há 8 geração(ões)
2026-08-13 07:45:23 | Geração 60/250 — melhor fitness: 229234845 | sem melhora há 9 geração(ões)
2026-08-13 07:45:34 | Geração 61/250 — melhor fitness: 229234845 | sem melhora há 10 geração(ões)
2026-08-13 07:45:47 | Geração 62/250 — melhor fitness: 229234845 | sem melhora há 11 geração(ões)
2026-08-13 07:46:00 | Geração 63/250 — melhor fitness: 229234845 | sem melhora há 12 geração(ões)
2026-08-13 07:46:12 | Geração 64/250 — melhor fitness: 229234845 | sem melhora há 13 geração(ões)
2026-08-13 07:46:25 | Geração 65/250 — melhor fitness: 229234845 | sem melhora há 14 geração(ões)
2026-08-13 07:46:37 | Geração 66/250 — melhor fitness: 229234845 | sem melhora há 15 geração(ões)
2026-08-13 07:46:50 | Geração 67/250 — melhor fitness: 229234845 | sem melhora há 16 geração(ões)
2026-08-13 07:47:02 | Geração 68/250 — melhor fitness: 229234845 | sem melhora há 17 geração(ões)
2026-08-13 07:47:14 | Geração 69/250 — melhor fitness: 229234845 | sem melhora há 18 geração(ões)
2026-08-13 07:47:27 | Geração 70/250 — melhor fitness: 229234845 | sem melhora há 19 geração(ões)
2026-08-13 07:47:39 | Geração 71/250 — melhor fitness: 229234845 | sem melhora há 20 geração(ões)
2026-08-13 07:47:52 | Geração 72/250 — melhor fitness: 229234845 | sem melhora há 21 geração(ões)
2026-08-13 07:48:05 | Geração 73/250 — melhor fitness: 229234845 | sem melhora há 22 geração(ões)
2026-08-13 07:48:18 | Geração 74/250 — melhor fitness: 229234845 | sem melhora há 23 geração(ões)
2026-08-13 07:48:31 | Geração 75/250 — melhor fitness: 227580930 | sem melhora há 0 geração(ões)
2026-08-13 07:48:43 | Geração 76/250 — melhor fitness: 227580930 | sem melhora há 1 geração(ões)
2026-08-13 07:48:55 | Geração 77/250 — melhor fitness: 227580930 | sem melhora há 2 geração(ões)
2026-08-13 07:49:07 | Geração 78/250 — melhor fitness: 227580930 | sem melhora há 3 geração(ões)
2026-08-13 07:49:19 | Geração 79/250 — melhor fitness: 227580930 | sem melhora há 4 geração(ões)
2026-08-13 07:49:32 | Geração 80/250 — melhor fitness: 227580930 | sem melhora há 5 geração(ões)
2026-08-13 07:49:44 | Geração 81/250 — melhor fitness: 227580930 | sem melhora há 6 geração(ões)
2026-08-13 07:49:55 | Geração 82/250 — melhor fitness: 227580930 | sem melhora há 7 geração(ões)
2026-08-13 07:50:08 | Geração 83/250 — melhor fitness: 227580930 | sem melhora há 8 geração(ões)
2026-08-13 07:50:20 | Geração 84/250 — melhor fitness: 227580930 | sem melhora há 9 geração(ões)
2026-08-13 07:50:33 | Geração 85/250 — melhor fitness: 227580930 | sem melhora há 10 geração(ões)
2026-08-13 07:50:45 | Geração 86/250 — melhor fitness: 227580930 | sem melhora há 11 geração(ões)
2026-08-13 07:50:57 | Geração 87/250 — melhor fitness: 227580930 | sem melhora há 12 geração(ões)
2026-08-13 07:51:10 | Geração 88/250 — melhor fitness: 227580930 | sem melhora há 13 geração(ões)
2026-08-13 07:51:21 | Geração 89/250 — melhor fitness: 227580930 | sem melhora há 14 geração(ões)
2026-08-13 07:51:34 | Geração 90/250 — melhor fitness: 227580930 | sem melhora há 15 geração(ões)
2026-08-13 07:51:46 | Geração 91/250 — melhor fitness: 227580930 | sem melhora há 16 geração(ões)
2026-08-13 07:51:58 | Geração 92/250 — melhor fitness: 227580930 | sem melhora há 17 geração(ões)
2026-08-13 07:52:11 | Geração 93/250 — melhor fitness: 227300733 | sem melhora há 0 geração(ões)
2026-08-13 07:52:23 | Geração 94/250 — melhor fitness: 227300733 | sem melhora há 1 geração(ões)
2026-08-13 07:52:35 | Geração 95/250 — melhor fitness: 227300733 | sem melhora há 2 geração(ões)
2026-08-13 07:52:47 | Geração 96/250 — melhor fitness: 227300733 | sem melhora há 3 geração(ões)
2026-08-13 07:52:59 | Geração 97/250 — melhor fitness: 227300733 | sem melhora há 4 geração(ões)
2026-08-13 07:53:12 | Geração 98/250 — melhor fitness: 227300733 | sem melhora há 5 geração(ões)
2026-08-13 07:53:24 | Geração 99/250 — melhor fitness: 227300733 | sem melhora há 6 geração(ões)
2026-08-13 07:53:37 | Geração 100/250 — melhor fitness: 227300733 | sem melhora há 7 geração(ões)
2026-08-13 07:53:49 | Geração 101/250 — melhor fitness: 227300733 | sem melhora há 8 geração(ões)
2026-08-13 07:54:02 | Geração 102/250 — melhor fitness: 227300733 | sem melhora há 9 geração(ões)
2026-08-13 07:54:13 | Geração 103/250 — melhor fitness: 227300733 | sem melhora há 10 geração(ões)
2026-08-13 07:54:26 | Geração 104/250 — melhor fitness: 227300733 | sem melhora há 11 geração(ões)
2026-08-13 07:54:39 | Geração 105/250 — melhor fitness: 227300733 | sem melhora há 12 geração(ões)
2026-08-13 07:54:51 | Geração 106/250 — melhor fitness: 226908465 | sem melhora há 0 geração(ões)
2026-08-13 07:55:04 | Geração 107/250 — melhor fitness: 226908465 | sem melhora há 1 geração(ões)
2026-08-13 07:55:16 | Geração 108/250 — melhor fitness: 226908465 | sem melhora há 2 geração(ões)
2026-08-13 07:55:28 | Geração 109/250 — melhor fitness: 226908465 | sem melhora há 3 geração(ões)
2026-08-13 07:55:41 | Geração 110/250 — melhor fitness: 226908465 | sem melhora há 4 geração(ões)
2026-08-13 07:55:53 | Geração 111/250 — melhor fitness: 226908465 | sem melhora há 5 geração(ões)
2026-08-13 07:56:06 | Geração 112/250 — melhor fitness: 226908465 | sem melhora há 6 geração(ões)
2026-08-13 07:56:19 | Geração 113/250 — melhor fitness: 226908465 | sem melhora há 7 geração(ões)
2026-08-13 07:56:31 | Geração 114/250 — melhor fitness: 226908465 | sem melhora há 8 geração(ões)
2026-08-13 07:56:43 | Geração 115/250 — melhor fitness: 226908465 | sem melhora há 9 geração(ões)
2026-08-13 07:56:56 | Geração 116/250 — melhor fitness: 226324209 | sem melhora há 0 geração(ões)
2026-08-13 07:57:09 | Geração 117/250 — melhor fitness: 226324209 | sem melhora há 1 geração(ões)
2026-08-13 07:57:21 | Geração 118/250 — melhor fitness: 226324209 | sem melhora há 2 geração(ões)
2026-08-13 07:57:34 | Geração 119/250 — melhor fitness: 226324209 | sem melhora há 3 geração(ões)
2026-08-13 07:57:48 | Geração 120/250 — melhor fitness: 226324209 | sem melhora há 4 geração(ões)
2026-08-13 07:58:00 | Geração 121/250 — melhor fitness: 226324209 | sem melhora há 5 geração(ões)
2026-08-13 07:58:13 | Geração 122/250 — melhor fitness: 226324209 | sem melhora há 6 geração(ões)
2026-08-13 07:58:25 | Geração 123/250 — melhor fitness: 226324209 | sem melhora há 7 geração(ões)
2026-08-13 07:58:38 | Geração 124/250 — melhor fitness: 226324209 | sem melhora há 8 geração(ões)
2026-08-13 07:58:50 | Geração 125/250 — melhor fitness: 226324209 | sem melhora há 9 geração(ões)
2026-08-13 07:59:03 | Geração 126/250 — melhor fitness: 226324209 | sem melhora há 10 geração(ões)
2026-08-13 07:59:16 | Geração 127/250 — melhor fitness: 225754175 | sem melhora há 0 geração(ões)
2026-08-13 07:59:27 | Geração 128/250 — melhor fitness: 225754175 | sem melhora há 1 geração(ões)
2026-08-13 07:59:40 | Geração 129/250 — melhor fitness: 225754175 | sem melhora há 2 geração(ões)
2026-08-13 07:59:52 | Geração 130/250 — melhor fitness: 225754175 | sem melhora há 3 geração(ões)
2026-08-13 08:00:06 | Geração 131/250 — melhor fitness: 225754175 | sem melhora há 4 geração(ões)
2026-08-13 08:00:18 | Geração 132/250 — melhor fitness: 225754175 | sem melhora há 5 geração(ões)
2026-08-13 08:00:31 | Geração 133/250 — melhor fitness: 225754175 | sem melhora há 6 geração(ões)
2026-08-13 08:00:43 | Geração 134/250 — melhor fitness: 225754175 | sem melhora há 7 geração(ões)
2026-08-13 08:00:56 | Geração 135/250 — melhor fitness: 225754175 | sem melhora há 8 geração(ões)
2026-08-13 08:01:08 | Geração 136/250 — melhor fitness: 225169919 | sem melhora há 0 geração(ões)
2026-08-13 08:01:21 | Geração 137/250 — melhor fitness: 225169919 | sem melhora há 1 geração(ões)
2026-08-13 08:01:33 | Geração 138/250 — melhor fitness: 225169919 | sem melhora há 2 geração(ões)
2026-08-13 08:01:46 | Geração 139/250 — melhor fitness: 225169919 | sem melhora há 3 geração(ões)
2026-08-13 08:01:58 | Geração 140/250 — melhor fitness: 225169919 | sem melhora há 4 geração(ões)
