approach,minutes,cs_amount,percentage,repetition,stat_route_length,stat_duration,stat_waiting_time,stat_time_loss,stat_depart_delay,sim_ended_time,reason,perf_duration_s,real_time_factor,ups,vehicles_inserted,vehicles_running,vehicles_waiting,teleports_total,teleports_collisions,teleports_jam,teleports_yield,teleports_wrong_lane,emergency_stops
genetic,10,16,10,1,9436.85,1126.06,351.21,493.83,4.58,34552.0,TraCI requested termination.,5388.71,2.40354,1671.938428,8001,0,0,1109,705,159,203,42,1
genetic,10,16,10,2,9340.36,1110.85,344.64,484.74,4.91,32087.0,TraCI requested termination.,5261.69,1.99309,1689.171291,8001,0,0,1022,631,147,231,13,0
genetic,10,16,10,3,9357.03,1135.81,367.49,505.26,2.89,33745.0,TraCI requested termination.,5007.58,2.42532,1814.768537,8001,0,0,1157,664,162,280,51,0
genetic,10,16,10,4,9394.73,1117.04,349.73,488.58,5.04,34374.0,TraCI requested termination.,5644.9,2.26293,1583.277472,8001,0,0,1111,681,158,236,36,0
genetic,10,16,10,5,9407.9,1120.4,346.2,485.6,4.53,34114.0,TraCI requested termination.,5447.57,2.29717,1645.566188,8001,0,0,1097,678,184,172,63,1
genetic,10,25,10,1,9193.44,1043.64,282.9,418.45,6.31,31541.0,TraCI requested termination.,8575.56,1.15922,973.713906,8001,0,0,1093,672,169,181,71,0
genetic,10,25,10,2,9137.75,1074.02,316.04,453.13,3.08,31423.0,TraCI requested termination.,7904.4,1.24273,1087.149353,8001,0,0,1078,685,153,209,31,0
genetic,10,25,10,3,9143.05,1044.51,286.5,424.41,9.41,30234.0,TraCI requested termination.,8931.7,0.96667,935.673023,8001,0,0,1014,618,163,195,38,1
genetic,10,25,10,4,9164.11,1032.72,276.61,411.52,4.29,29429.0,TraCI requested termination.,8651.05,0.904977,955.124959,8001,0,0,1005,610,127,217,51,0
genetic,10,25,10,5,9157.01,1029.06,271.51,407.92,5.48,28593.0,TraCI requested termination.,8830.39,0.791924,932.403688,8001,0,0,1053,650,130,224,49,0
