approach,minutes,cs_amount,percentage,repetition,stat_route_length,stat_duration,stat_waiting_time,stat_time_loss,stat_depart_delay,sim_ended_time,reason,perf_duration_s,real_time_factor,ups,vehicles_inserted,vehicles_running,vehicles_waiting,teleports_total,teleports_collisions,teleports_jam,teleports_yield,teleports_wrong_lane,emergency_stops
greedy,10,16,10,1,9549.54,1237.96,408.18,570.4,7.59,42196.0,TraCI requested termination.,3350.198,6.1477,2956.511227,8001,0,0,901,13,183,112,593,583
greedy,10,16,10,2,9567.94,1301.32,462.22,625.57,6.95,46787.0,TraCI requested termination.,3476.115,7.24573,2995.262815,8001,0,0,939,9,200,142,588,571
greedy,10,16,10,3,9619.52,1177.73,355.15,516.91,6.83,39801.0,TraCI requested termination.,3400.725,5.35209,2770.878563,8001,0,0,810,7,170,125,508,630
greedy,10,16,10,4,9569.4,1246.04,421.56,582.59,6.85,46094.0,TraCI requested termination.,3471.027,7.0567,2872.213613,8001,0,0,906,9,188,100,609,608
greedy,10,16,10,5,9574.35,1235.54,405.68,567.26,7.83,43310.0,TraCI requested termination.,3326.662,6.52606,2971.611183,8001,0,0,853,12,159,97,585,609
greedy,10,25,10,1,9408.85,1210.72,391.18,551.49,6.52,45319.0,TraCI requested termination.,4432.074,5.35167,2185.65236,8001,0,0,862,10,111,195,546,577
greedy,10,25,10,2,9382.71,1201.87,389.29,547.81,6.87,41186.0,TraCI requested termination.,4504.876,4.34773,2134.604371,8001,0,0,885,10,123,205,547,598
greedy,10,25,10,3,9421.85,1246.68,419.57,580.38,7.0,44156.0,TraCI requested termination.,4477.435,5.03771,2227.771481,8001,0,0,903,5,121,219,558,614
greedy,10,25,10,4,9396.88,1191.88,375.77,533.88,7.45,41337.0,TraCI requested termination.,4348.613,4.53869,2192.941979,8001,0,0,806,12,111,198,485,594
greedy,10,25,10,5,9436.33,1220.7,392.47,553.91,6.45,43834.0,TraCI requested termination.,4398.3,5.05513,2220.581134,8001,0,0,914,8,134,189,583,628
greedy,10,36,10,1,9490.11,1111.59,284.48,447.42,7.21,35773.0,TraCI requested termination.,5771.623,2.45564,1540.95841,8001,0,0,685,12,133,108,432,650
greedy,10,36,10,2,9482.99,1096.16,276.87,438.45,6.27,36554.0,TraCI requested termination.,6668.072,2.24263,1315.27629,8001,0,0,609,6,91,85,427,602
greedy,10,36,10,3,9499.61,1120.04,294.18,457.48,6.55,36568.0,TraCI requested termination.,6787.884,2.20511,1320.215549,8001,0,0,701,3,135,85,478,615
greedy,10,36,10,4,9486.73,1163.42,334.16,497.4,6.22,43561.0,TraCI requested termination.,6600.817,3.32701,1410.213311,8001,0,0,728,7,177,92,452,633
greedy,10,36,10,5,9463.7,1129.97,305.31,466.39,6.48,41863.0,TraCI requested termination.,6792.535,2.98313,1331.009115,8001,0,0,667,8,136,85,438,611
greedy,10,49,10,1,9609.75,1078.19,257.87,417.35,16.04,32322.0,TraCI requested termination.,9096.118,1.17874,948.384025,8001,0,0,652,9,115,121,407,595
greedy,10,49,10,2,9559.2,1133.11,307.7,466.43,18.74,34311.0,TraCI requested termination.,8739.859,1.45437,1037.318337,8001,0,0,656,11,158,124,363,605
greedy,10,49,10,3,9563.89,1064.79,252.17,411.8,9.72,31535.0,TraCI requested termination.,9010.07,1.10266,945.542044,8001,0,0,588,7,131,114,336,615
greedy,10,49,10,4,9594.72,1104.31,273.1,433.94,16.71,35021.0,TraCI requested termination.,8912.864,1.5058,991.333762,8001,0,0,578,7,125,108,338,638
greedy,10,49,10,5,9606.52,1099.43,272.43,431.26,18.58,37271.0,TraCI requested termination.,8765.583,1.78779,1003.529258,8001,0,0,590,6,116,106,362,605
greedy,10,9,10,1,9611.8,1754.82,886.68,1059.59,5.55,58720.0,TraCI requested termination.,2324.417,15.9696,6040.369693,8001,0,0,986,8,191,113,674,592
greedy,10,9,10,2,9638.8,1647.78,783.5,954.91,6.07,56456.0,TraCI requested termination.,1931.222,18.0487,6826.723184,8001,0,0,881,8,140,99,634,618
greedy,10,9,10,3,9616.81,1671.9,803.95,974.79,7.03,57486.0,TraCI requested termination.,2083.01,17.228,6421.879876,8001,0,0,936,6,173,75,682,648
greedy,10,9,10,4,9630.92,1609.48,749.81,921.64,5.87,60386.0,TraCI requested termination.,2262.384,17.1439,5691.969621,8001,0,0,989,9,216,61,703,626
greedy,10,9,10,5,9617.87,1751.72,883.8,1057.43,5.81,57138.0,TraCI requested termination.,2056.486,17.2809,6815.256219,8001,0,0,1002,4,193,116,689,564
greedy,10,16,15,1,10008.36,1710.31,810.72,982.66,9.38,56352.0,TraCI requested termination.,5095.797,6.81974,2685.38994,8001,0,0,1421,8,301,170,942,661
greedy,10,16,15,2,9949.99,1660.01,772.32,940.97,7.53,54906.0,TraCI requested termination.,5173.953,6.43724,2567.040134,8001,0,0,1559,12,344,225,978,665
greedy,10,16,15,3,9999.17,1607.45,715.37,886.46,7.7,46959.0,TraCI requested termination.,5017.493,5.05412,2563.274528,8001,0,0,1580,7,326,212,1035,664
greedy,10,16,15,4,9983.68,1655.53,760.09,930.74,6.69,53409.0,TraCI requested termination.,4934.781,6.44588,2684.196928,8001,0,0,1541,10,301,177,1053,570
greedy,10,16,15,5,9989.09,1606.26,717.64,885.58,8.56,50731.0,TraCI requested termination.,5024.531,5.79776,2557.787583,8001,0,0,1533,6,342,171,1014,627
greedy,10,25,15,1,9749.27,1524.23,650.9,820.47,7.76,44775.0,TraCI requested termination.,6352.924,3.64793,1919.64157,8001,0,0,1489,11,231,304,943,610
greedy,10,25,15,2,9719.85,1542.43,666.05,835.15,7.34,46414.0,TraCI requested termination.,6519.003,3.80641,1893.077668,8001,0,0,1537,9,238,327,963,615
greedy,10,25,15,3,9743.85,1494.48,625.06,792.4,7.54,45279.0,TraCI requested termination.,6620.524,3.57661,1806.102659,8001,0,0,1445,7,219,306,913,641
greedy,10,25,15,4,9788.91,1780.14,872.54,1039.98,6.47,55816.0,TraCI requested termination.,6534.588,5.23614,2179.611936,8001,0,0,1527,7,252,316,952,594
greedy,10,25,15,5,9740.05,1537.16,661.54,829.65,7.48,43133.0,TraCI requested termination.,6384.101,3.37291,1926.47986,8001,0,0,1492,9,259,299,925,570
greedy,10,36,15,1,9889.77,1545.22,644.87,816.48,7.63,42187.0,TraCI requested termination.,10035.317,2.05145,1231.979717,8001,0,0,1226,5,235,157,829,640
greedy,10,36,15,2,9849.47,1712.51,796.59,972.16,6.39,53651.0,TraCI requested termination.,9853.435,3.25277,1390.562885,8001,0,0,1194,8,259,161,766,645
greedy,10,36,15,3,9875.44,1712.76,792.17,967.71,6.55,45590.0,TraCI requested termination.,10072.386,2.38176,1360.526989,8001,0,0,1270,5,249,191,825,663
greedy,10,36,15,4,9868.64,1617.49,704.35,877.83,5.63,48149.0,TraCI requested termination.,9973.113,2.66206,1297.644778,8001,0,0,1223,8,247,206,762,609
greedy,10,36,15,5,9839.05,1668.71,766.09,937.55,7.56,51777.0,TraCI requested termination.,10059.666,2.9998,1327.217623,8001,0,0,1295,12,203,262,818,607
greedy,10,49,15,1,10010.42,1320.1,436.63,604.17,20.73,37186.0,TraCI requested termination.,13031.593,1.19602,810.49999,8001,0,0,1065,14,184,178,689,622
greedy,10,49,15,2,9999.07,1450.8,556.04,725.53,16.57,41556.0,TraCI requested termination.,13539.918,1.47386,857.308294,8001,0,0,1126,9,252,166,699,628
greedy,10,49,15,3,10057.44,1408.75,512.65,680.76,26.04,41107.0,TraCI requested termination.,13436.374,1.45181,838.870368,8001,0,0,1200,15,313,175,697,638
greedy,10,49,15,4,9979.81,1367.04,476.98,644.35,27.51,36872.0,TraCI requested termination.,13511.331,1.13031,809.516694,8001,0,0,1140,20,185,216,719,573
greedy,10,49,15,5,10011.5,1416.97,522.06,688.71,25.93,36210.0,TraCI requested termination.,11976.558,1.21988,946.610954,8001,0,0,1108,16,226,184,682,633
greedy,10,9,15,1,10032.92,2593.31,1639.34,1826.42,6.41,67338.0,TraCI requested termination.,3407.087,13.4244,6089.96659,8001,0,0,1561,11,269,221,1060,623
greedy,10,9,15,2,10029.5,2540.12,1588.11,1777.44,5.88,74640.0,TraCI requested termination.,3359.78,15.7867,6049.049343,8001,0,0,1582,10,232,175,1165,593
greedy,10,9,15,3,10031.89,2810.04,1845.12,2036.46,5.21,70492.0,TraCI requested termination.,3431.292,14.2489,6552.38231,8001,0,0,1725,4,339,243,1139,594
greedy,10,9,15,4,10036.11,2652.71,1685.53,1875.15,5.74,68394.0,TraCI requested termination.,3328.045,14.0605,6377.423082,8001,0,0,1630,6,251,198,1175,573
