approach,minutes,cs_amount,percentage,repetition,stat_route_length,stat_duration,stat_waiting_time,stat_time_loss,stat_depart_delay,sim_ended_time,reason,perf_duration_s,real_time_factor,ups,vehicles_inserted,vehicles_running,vehicles_waiting,teleports_total,teleports_collisions,teleports_jam,teleports_yield,teleports_wrong_lane,emergency_stops
greedyvoronoi,40,16,10,1,9624.67,1417.6,564.88,735.08,7.17,47383.0,TraCI requested termination.,2604.347,9.89999,4355.104754,8001,0,0,1186,13,261,101,811,636
greedyvoronoi,40,16,10,2,9555.03,1611.71,754.87,923.29,6.21,53351.0,TraCI requested termination.,2898.579,10.954,4448.819577,8001,0,0,1135,8,265,109,753,622
greedyvoronoi,40,16,10,3,9566.98,1329.98,475.5,640.46,7.04,40974.0,TraCI requested termination.,3414.49,5.67405,3116.468345,8001,0,0,1147,4,231,163,749,590
greedyvoronoi,40,16,10,4,9579.49,1664.32,796.53,962.06,12.82,53545.0,TraCI requested termination.,3814.408,8.37483,3491.036879,8001,0,0,1166,16,313,228,609,577
greedyvoronoi,40,16,10,5,9619.81,1374.85,529.19,695.46,9.75,47995.0,TraCI requested termination.,3051.932,8.64862,3604.322115,8001,0,0,1233,10,356,164,703,643
greedyvoronoi,40,25,10,1,9626.49,1289.9,430.22,592.4,6.03,36066.0,TraCI requested termination.,5085.526,2.84454,2029.384964,8001,0,0,1135,11,331,187,606,611
greedyvoronoi,40,25,10,2,9401.02,1241.15,401.31,562.89,7.7,36154.0,TraCI requested termination.,4319.904,3.36906,2298.757796,8001,0,0,1164,10,235,260,659,590
greedyvoronoi,40,25,10,3,9377.14,1312.04,471.36,635.07,7.25,38839.0,TraCI requested termination.,4146.273,4.15771,2531.815922,8001,0,0,1193,9,365,178,641,628
greedyvoronoi,40,25,10,4,9491.61,1464.85,605.18,770.19,7.58,48567.0,TraCI requested termination.,3642.121,7.4042,3217.97546,8001,0,0,1265,8,399,103,755,593
greedyvoronoi,40,25,10,5,9807.99,1247.25,395.03,555.8,6.16,41353.0,TraCI requested termination.,4867.836,4.05786,2050.034348,8001,0,0,1026,13,310,109,594,588
greedyvoronoi,40,36,10,1,9597.83,1346.61,490.9,654.35,7.21,44944.0,TraCI requested termination.,6589.282,3.54272,1635.111838,8001,0,0,1179,11,313,138,717,597
greedyvoronoi,40,36,10,2,9422.92,1338.05,480.81,641.97,8.64,39785.0,TraCI requested termination.,5733.751,3.17157,1867.145609,8001,0,0,1101,8,273,186,634,660
greedyvoronoi,40,36,10,3,9336.34,1225.13,378.42,538.84,8.7,34820.0,TraCI requested termination.,6135.012,2.15485,1597.754169,8001,0,0,1086,15,257,230,584,645
greedyvoronoi,40,36,10,4,9467.0,1186.85,346.0,504.66,8.11,35264.0,TraCI requested termination.,7190.722,1.90023,1320.592703,8001,0,0,1074,5,281,189,599,604
greedyvoronoi,40,36,10,5,9345.15,1175.32,323.26,484.12,8.68,33385.0,TraCI requested termination.,6517.4,1.80824,1442.868475,8001,0,0,1043,7,229,243,564,585
greedyvoronoi,40,49,10,1,9360.26,1208.32,357.14,517.54,9.02,38982.0,TraCI requested termination.,8237.157,2.11019,1173.68189,8001,0,0,1005,8,270,153,574,615
greedyvoronoi,40,49,10,2,9795.0,1372.96,504.22,663.4,6.76,59630.0,TraCI requested termination.,6155.253,6.17846,1784.669615,8001,0,0,1078,6,336,148,588,602
greedyvoronoi,40,49,10,3,9488.21,1211.98,360.99,522.11,8.02,34660.0,TraCI requested termination.,8251.978,1.58265,1175.12274,8001,0,0,1107,4,374,152,577,600
greedyvoronoi,40,49,10,4,9396.07,1184.59,346.27,504.66,7.17,33746.0,TraCI requested termination.,6762.16,1.79617,1401.612059,8001,0,0,1060,11,253,178,618,641
greedyvoronoi,40,49,10,5,9473.62,1200.26,342.32,505.08,8.84,34399.0,TraCI requested termination.,7990.583,1.60176,1201.828703,8001,0,0,1076,17,249,198,612,604
greedyvoronoi,40,9,10,1,9902.18,1528.02,675.46,842.58,7.4,59259.0,TraCI requested termination.,1731.863,21.7448,7059.258151,8001,0,0,1518,10,426,79,1003,637
greedyvoronoi,40,9,10,2,10006.65,1579.51,721.82,889.51,5.7,55664.0,TraCI requested termination.,2737.538,12.4433,4616.436009,8001,0,0,1406,8,327,66,1005,598
greedyvoronoi,40,9,10,3,9905.75,1665.97,809.78,980.85,5.48,55224.0,TraCI requested termination.,2247.649,14.9596,5930.379699,8001,0,0,1245,9,327,195,714,597
greedyvoronoi,40,9,10,4,9917.26,1671.43,803.96,975.41,7.35,54139.0,TraCI requested termination.,1865.706,17.4406,7167.871036,8001,0,0,1453,11,364,87,991,595
greedyvoronoi,40,9,10,5,9665.74,1545.27,700.73,870.83,5.63,50359.0,TraCI requested termination.,2194.975,13.1022,5632.71609,8001,0,0,1354,10,265,47,1032,618
