approach,minutes,cs_amount,percentage,repetition,stat_route_length,stat_duration,stat_waiting_time,stat_time_loss,stat_depart_delay,sim_ended_time,reason,perf_duration_s,real_time_factor,ups,vehicles_inserted,vehicles_running,vehicles_waiting,teleports_total,teleports_collisions,teleports_jam,teleports_yield,teleports_wrong_lane,emergency_stops
pseudorandom,10,16,10,1,9546.11,1488.23,650.4,812.32,6.27,48463.0,TraCI requested termination.,8045.169,3.33902,1480.060643,8001,0,0,1104,15,367,176,546,617
pseudorandom,10,16,10,2,9963.77,1843.26,950.7,1118.46,7.09,62070.0,TraCI requested termination.,8741.359,4.62971,1687.146244,8001,0,0,1090,9,264,356,461,595
pseudorandom,10,16,10,3,9679.96,1662.23,749.6,914.73,5.61,52410.0,TraCI requested termination.,7612.04,4.04754,1747.169221,8001,0,0,1048,7,175,360,506,621
pseudorandom,10,16,10,4,9831.38,1704.92,821.37,991.65,12.84,65130.0,TraCI requested termination.,8841.341,4.92346,1542.869458,8001,0,0,1119,10,226,358,525,604
pseudorandom,10,16,10,5,9628.38,1457.5,596.24,756.2,5.37,40784.0,TraCI requested termination.,8043.155,2.38513,1449.864015,8001,0,0,1126,18,285,364,459,598
pseudorandom,10,25,10,1,9405.35,1375.77,527.6,687.18,6.49,42147.0,TraCI requested termination.,13759.796,1.49326,799.978575,8001,0,0,828,7,175,178,468,630
pseudorandom,10,25,10,2,9478.53,1435.03,584.88,744.52,5.29,50019.0,TraCI requested termination.,14059.875,2.02128,816.629451,8001,0,0,886,5,187,239,455,598
pseudorandom,10,25,10,3,9485.49,1412.16,575.74,734.69,9.92,50385.0,TraCI requested termination.,12732.63,2.26073,887.379984,8001,0,0,903,14,143,358,388,603
pseudorandom,10,25,10,4,9405.14,1236.11,400.15,558.16,5.12,42646.0,TraCI requested termination.,12218.29,1.7225,809.452223,8001,0,0,763,21,148,198,396,582
pseudorandom,10,25,10,5,9571.99,1372.35,528.89,689.25,5.5,41267.0,TraCI requested termination.,13340.033,1.47428,823.097139,8001,0,0,956,7,235,254,460,646
pseudorandom,10,36,10,1,9337.09,1271.66,445.08,602.22,6.46,41050.0,TraCI requested termination.,16114.314,1.207,631.400567,8001,0,0,790,11,151,255,373,570
pseudorandom,10,36,10,2,9385.75,1250.48,418.39,574.81,7.21,41617.0,TraCI requested termination.,15998.703,1.25116,625.367944,8001,0,0,848,12,219,236,381,627
pseudorandom,10,36,10,3,9288.91,1274.98,450.49,608.52,7.31,38708.0,TraCI requested termination.,17799.669,0.961141,573.106388,8001,0,0,873,13,144,293,423,620
pseudorandom,10,36,10,4,9362.27,1255.66,427.54,584.56,5.94,38294.0,TraCI requested termination.,17945.875,0.930242,559.823302,8001,0,0,888,6,253,233,396,584
pseudorandom,10,36,10,5,9329.48,1246.57,411.98,576.11,5.76,38673.0,TraCI requested termination.,17134.872,0.996389,582.077532,8001,0,0,718,13,126,212,367,633
pseudorandom,10,49,10,1,9398.33,1194.14,364.02,521.3,5.84,39536.0,TraCI requested termination.,24736.857,0.725072,386.239125,8001,0,0,702,7,169,139,387,598
pseudorandom,10,49,10,2,9198.31,1192.58,369.91,526.94,7.15,37685.0,TraCI requested termination.,23561.447,0.682683,404.975934,8001,0,0,756,6,130,254,366,588
pseudorandom,10,49,10,3,9286.62,1223.8,400.01,556.4,5.76,37838.0,TraCI requested termination.,24074.315,0.674495,406.725134,8001,0,0,738,14,136,266,322,620
pseudorandom,10,49,10,4,9347.91,1139.75,316.79,472.7,5.35,35039.0,TraCI requested termination.,24692.353,0.544258,369.308668,8001,0,0,769,7,157,232,373,567
pseudorandom,10,49,10,5,9341.21,1248.57,420.51,579.6,5.5,44100.0,TraCI requested termination.,24363.767,0.923503,410.028384,8001,0,0,709,5,115,260,329,621
pseudorandom,10,9,10,1,9898.28,1891.04,981.25,1150.88,5.8,60584.0,TraCI requested termination.,4939.777,7.89185,3062.926727,8001,0,0,1008,13,110,421,464,596
pseudorandom,10,9,10,2,9798.75,1962.27,1065.52,1231.62,6.05,54202.0,TraCI requested termination.,4766.87,6.83929,3293.596217,8001,0,0,1245,8,328,370,539,637
pseudorandom,10,9,10,3,9785.24,1542.25,679.17,848.04,6.19,50559.0,TraCI requested termination.,4675.436,6.19386,2639.236426,8001,0,0,1018,15,258,287,458,601
pseudorandom,10,9,10,4,10098.07,1734.03,850.89,1017.46,5.46,53385.0,TraCI requested termination.,4506.548,7.05307,3078.624703,8001,0,0,1006,7,259,281,459,606
pseudorandom,10,9,10,5,9752.95,1702.63,819.07,986.13,5.76,53510.0,TraCI requested termination.,4102.622,7.77795,3320.491383,8001,0,0,967,9,232,120,606,590
pseudorandom,10,16,15,1,9941.15,2104.82,1183.65,1355.96,5.56,55597.0,TraCI requested termination.,12267.963,2.7712,1372.732621,8001,0,0,1735,13,627,337,758,620
pseudorandom,10,16,15,2,10628.69,3289.56,2282.95,2475.45,7.04,88851.0,TraCI requested termination.,13167.141,5.10749,1998.897711,8001,0,0,1745,5,452,501,787,598
pseudorandom,10,16,15,3,10060.78,2664.83,1646.48,1828.47,5.8,64414.0,TraCI requested termination.,10634.354,4.02601,2004.946516,8001,0,0,1499,11,248,525,715,609
pseudorandom,10,16,15,4,10418.94,2610.3,1613.55,1800.0,12.48,70919.0,TraCI requested termination.,13226.509,3.7288,1579.026786,8001,0,0,1637,9,229,502,897,595
pseudorandom,10,16,15,5,10030.58,2136.63,1182.06,1353.65,5.43,49074.0,TraCI requested termination.,11759.124,2.3364,1453.782101,8001,0,0,1693,6,411,528,748,595
pseudorandom,10,25,15,1,9775.56,1946.28,1023.35,1194.3,6.9,60728.0,TraCI requested termination.,20068.661,1.94971,775.946686,8001,0,0,1459,8,310,358,783,630
pseudorandom,10,25,15,2,9913.82,2182.8,1241.28,1414.72,5.6,65464.0,TraCI requested termination.,20227.989,2.16848,863.385283,8001,0,0,1542,8,350,404,780,653
pseudorandom,10,25,15,3,9930.82,2110.64,1172.4,1343.83,12.7,55482.0,TraCI requested termination.,18942.902,1.78864,891.480513,8001,0,0,1329,11,218,440,660,571
pseudorandom,10,25,15,4,9710.69,1842.52,914.17,1081.68,5.75,52954.0,TraCI requested termination.,19270.614,1.62704,765.000638,8001,0,0,1397,28,256,373,740,627
pseudorandom,10,25,15,5,9981.76,2000.81,1068.03,1237.2,5.73,46854.0,TraCI requested termination.,19359.711,1.30446,826.898191,8001,0,0,1584,16,393,437,738,617
pseudorandom,10,36,15,1,9631.97,1926.14,1012.82,1174.27,15.15,48458.0,TraCI requested termination.,24940.858,1.07687,617.904164,8001,0,0,1504,11,320,487,686,603
pseudorandom,10,36,15,2,9713.47,1783.03,877.29,1044.0,8.44,51637.0,TraCI requested termination.,25466.023,1.17949,560.198073,8001,0,0,1584,8,423,415,738,640
pseudorandom,10,36,15,3,9681.2,1748.36,840.16,1005.95,7.86,48169.0,TraCI requested termination.,26716.987,0.994461,523.585575,8001,0,0,1437,7,267,465,698,585
pseudorandom,10,36,15,4,9647.61,1775.97,866.47,1031.87,5.55,45161.0,TraCI requested termination.,26609.509,0.885435,534.001097,8001,0,0,1489,12,430,372,675,611
pseudorandom,10,36,15,5,9633.65,1729.67,815.8,986.07,5.7,40430.0,TraCI requested termination.,25157.92,0.748472,550.089634,8001,0,0,1400,10,292,418,680,574
pseudorandom,10,49,15,1,9746.22,1615.01,701.21,866.65,5.44,45267.0,TraCI requested termination.,37754.903,0.626859,342.252793,8001,0,0,1278,5,265,328,680,598
pseudorandom,10,49,15,2,9465.66,1757.67,854.87,1019.8,6.84,51086.0,TraCI requested termination.,34656.732,0.850802,405.78399,8001,0,0,1349,9,260,429,651,621
pseudorandom,10,49,15,3,9561.84,1783.47,871.19,1031.82,5.38,45576.0,TraCI requested termination.,35217.545,0.680797,405.183411,8001,0,0,1397,4,316,469,608,595
