approach,minutes,cs_amount,percentage,repetition,stat_route_length,stat_duration,stat_waiting_time,stat_time_loss,stat_depart_delay,sim_ended_time,reason,perf_duration_s,real_time_factor,ups,vehicles_inserted,vehicles_running,vehicles_waiting,teleports_total,teleports_collisions,teleports_jam,teleports_yield,teleports_wrong_lane,emergency_stops
random,10,16,10,1,9530.58,1422.66,559.68,720.56,8.03,51081.0,TraCI requested termination.,6849.357,4.3042,1661.862858,8001,0,0,922,9,105,423,385,592
random,10,16,10,2,9466.7,1744.7,873.27,1037.29,9.72,60736.0,TraCI requested termination.,5877.757,6.65832,2374.948471,8001,0,0,1040,12,216,337,475,600
random,10,16,10,3,10028.64,1908.24,995.47,1160.1,5.69,59448.0,TraCI requested termination.,6816.722,5.55223,2239.761721,8001,0,0,1184,18,270,358,538,578
random,10,16,10,4,9764.99,1858.08,963.78,1130.33,5.54,57206.0,TraCI requested termination.,6608.828,5.38764,2249.492648,8001,0,0,909,10,54,327,518,569
random,10,16,10,5,9463.89,1457.34,607.34,767.17,5.79,47103.0,TraCI requested termination.,6360.17,4.0098,1833.310588,8001,0,0,987,7,179,307,494,658
random,10,25,10,1,9542.53,1429.72,575.81,735.28,5.5,47223.0,TraCI requested termination.,10448.971,2.4522,1094.768471,8001,0,0,936,17,100,398,421,583
random,10,25,10,2,9401.49,1250.15,417.49,574.03,7.31,37736.0,TraCI requested termination.,9601.259,1.68061,1041.78452,8001,0,0,875,12,157,302,404,611
random,10,25,10,3,9438.91,1531.31,681.58,840.27,8.8,53424.0,TraCI requested termination.,9065.149,3.51059,1351.555281,8001,0,0,974,13,99,422,440,639
random,10,25,10,4,9428.92,1745.42,870.97,1036.05,7.4,55639.0,TraCI requested termination.,10851.742,3.13673,1286.900205,8001,0,0,1033,13,116,426,478,624
random,10,25,10,5,9374.38,1437.45,574.12,735.21,7.54,54737.0,TraCI requested termination.,8675.22,3.81973,1325.732143,8001,0,0,838,6,154,260,418,652
random,10,36,10,1,9298.13,1130.52,311.44,465.1,6.46,33887.0,TraCI requested termination.,13788.874,0.891081,655.986486,8001,0,0,733,9,164,206,354,602
