approach,minutes,cs_amount,percentage,repetition,stat_route_length,stat_duration,stat_waiting_time,stat_time_loss,stat_depart_delay,sim_ended_time,reason,perf_duration_s,real_time_factor,ups,vehicles_inserted,vehicles_running,vehicles_waiting,teleports_total,teleports_collisions,teleports_jam,teleports_yield,teleports_wrong_lane,emergency_stops
pseudorandom,60,16,10,1,9558.9,1553.08,681.93,847.1,9.32,54117.0,TraCI requested termination.,7816.171,4.16022,1589.801579,8001,0,0,1186,5,237,327,617,581
pseudorandom,60,16,10,2,9591.7,1634.67,743.62,906.75,8.38,48943.0,TraCI requested termination.,8832.917,3.09558,1480.706543,8001,0,0,1283,15,290,397,581,617
pseudorandom,60,16,10,3,9504.59,1610.05,757.91,921.27,5.97,55947.0,TraCI requested termination.,8410.413,4.08387,1531.674723,8001,0,0,1256,11,455,325,465,582
pseudorandom,60,16,10,4,9746.15,1688.7,799.84,960.58,5.81,49496.0,TraCI requested termination.,8092.324,3.44722,1669.642491,8001,0,0,1187,5,295,377,510,585
pseudorandom,60,16,10,5,9607.28,1565.42,677.19,839.94,5.21,51620.0,TraCI requested termination.,7897.041,3.80142,1586.022917,8001,0,0,1220,16,227,367,610,605
pseudorandom,60,9,10,1,9968.45,2309.7,1382.92,1560.9,5.13,67360.0,TraCI requested termination.,4894.44,9.34938,3775.687719,8001,0,0,1286,12,366,318,590,625
pseudorandom,60,9,10,2,9932.69,1936.12,1027.35,1196.23,30.57,70170.0,TraCI requested termination.,4729.927,10.2687,3275.079933,8001,0,0,1224,13,316,340,555,579
pseudorandom,60,9,10,3,9855.45,1810.72,919.23,1091.96,5.29,62624.0,TraCI requested termination.,6221.052,6.59438,2328.792622,8001,0,0,1230,7,342,334,547,616
pseudorandom,60,9,10,4,9769.25,2057.4,1141.72,1311.56,8.08,64566.0,TraCI requested termination.,5251.569,8.18155,3134.541125,8001,0,0,1245,4,283,350,608,590
pseudorandom,60,9,10,5,9910.34,2162.53,1257.5,1427.83,5.28,67873.0,TraCI requested termination.,4993.795,9.2661,3464.772383,8001,0,0,1258,5,294,347,612,576
pseudorandom,60,9,15,1,10678.13,3772.32,2698.06,2899.48,6.11,91718.0,TraCI requested termination.,7723.642,9.07836,3907.782365,8001,0,0,2035,20,634,525,856,643
pseudorandom,60,9,15,2,10482.93,2871.14,1867.14,2052.84,28.7,72290.0,TraCI requested termination.,7003.127,7.2382,3280.252664,8001,0,0,1908,12,474,554,868,636
pseudorandom,60,9,15,3,10503.86,2866.63,1874.7,2068.69,6.33,70259.0,TraCI requested termination.,8685.972,5.60202,2640.571372,8001,0,0,1976,13,568,597,798,602
pseudorandom,60,9,15,4,10257.3,3057.78,2041.73,2230.06,8.74,79274.0,TraCI requested termination.,7646.123,7.54291,3199.6982,8001,0,0,1917,14,512,568,823,652
