approach,minutes,cs_amount,percentage,repetition,stat_route_length,stat_duration,stat_waiting_time,stat_time_loss,stat_depart_delay,sim_ended_time,reason,perf_duration_s,real_time_factor,ups,vehicles_inserted,vehicles_running,vehicles_waiting,teleports_total,teleports_collisions,teleports_jam,teleports_yield,teleports_wrong_lane,emergency_stops
pseudorandom,10,16,10,1,9558.22,1725.99,848.8,1015.19,8.87,56848.0,TraCI requested termination.,7410.592,4.75644,1863.501863,8001,0,0,996,7,171,327,491,595
pseudorandom,10,16,10,2,9593.05,1551.37,676.64,839.93,7.93,47423.0,TraCI requested termination.,8618.988,2.99606,1440.132531,8001,0,0,1016,14,159,332,511,618
pseudorandom,10,16,10,3,9503.8,1520.0,688.83,852.02,6.51,53722.0,TraCI requested termination.,7684.582,4.18006,1582.584713,8001,0,0,959,9,346,249,355,588
pseudorandom,10,16,10,4,9745.99,1530.52,673.52,834.05,5.81,44123.0,TraCI requested termination.,8281.354,2.71972,1478.710486,8001,0,0,938,4,224,328,382,597
pseudorandom,10,16,10,5,9601.21,1375.54,517.6,679.75,5.21,44485.0,TraCI requested termination.,7209.318,3.17436,1526.59031,8001,0,0,841,19,139,203,480,572
pseudorandom,10,25,10,1,9554.31,1638.77,749.79,913.53,5.98,53539.0,TraCI requested termination.,12944.191,2.46744,1012.949206,8001,0,0,975,11,210,233,521,631
pseudorandom,10,25,10,2,9435.54,1350.01,512.78,671.79,5.54,47938.0,TraCI requested termination.,12950.414,2.03376,834.060517,8001,0,0,906,13,192,240,461,593
pseudorandom,10,25,10,3,9449.46,1243.21,419.03,576.08,8.46,42758.0,TraCI requested termination.,11763.223,1.79866,845.597503,8001,0,0,818,11,240,206,361,565
pseudorandom,10,25,10,4,9656.93,1412.71,549.3,709.6,5.39,48962.0,TraCI requested termination.,13411.364,2.04021,842.797496,8001,0,0,934,7,263,208,456,632
pseudorandom,10,25,10,5,9548.18,1351.5,505.95,664.76,5.12,46493.0,TraCI requested termination.,12387.885,2.00946,872.897997,8001,0,0,880,14,179,319,368,561
pseudorandom,10,36,10,1,9468.45,1269.79,431.58,590.49,7.14,41415.0,TraCI requested termination.,15924.625,1.2443,637.980549,8001,0,0,759,13,220,173,353,650
pseudorandom,10,36,10,2,9298.84,1272.83,441.26,598.94,6.8,47171.0,TraCI requested termination.,16462.697,1.55327,618.60508,8001,0,0,744,13,109,234,388,585
pseudorandom,10,36,10,3,9445.88,1282.89,433.83,592.57,5.46,41576.0,TraCI requested termination.,17067.392,1.17042,601.404362,8001,0,0,766,7,114,277,368,583
