approach,minutes,cs_amount,percentage,repetition,stat_route_length,stat_duration,stat_waiting_time,stat_time_loss,stat_depart_delay,sim_ended_time,reason,perf_duration_s,real_time_factor,ups,vehicles_inserted,vehicles_running,vehicles_waiting,teleports_total,teleports_collisions,teleports_jam,teleports_yield,teleports_wrong_lane,emergency_stops
random,40,16,10,1,9531.03,1532.36,654.05,815.45,7.08,54891.0,TraCI requested termination.,6714.061,4.9584,1826.079328,8001,0,0,1189,9,222,465,493,602
random,40,16,10,2,9466.78,1806.26,919.7,1083.88,5.45,62377.0,TraCI requested termination.,6067.286,6.7208,2381.935185,8001,0,0,1212,11,270,370,561,598
random,40,16,10,3,10028.77,1797.0,896.96,1061.05,5.69,58476.0,TraCI requested termination.,6674.732,5.52472,2154.059069,8001,0,0,1226,20,304,369,533,582
random,40,16,10,4,9765.63,1716.64,832.3,997.36,5.54,57169.0,TraCI requested termination.,6530.045,5.44698,2103.325934,8001,0,0,1170,15,114,458,583,580
random,40,16,10,5,9463.16,1468.18,613.31,772.58,5.79,45118.0,TraCI requested termination.,6054.765,3.88421,1940.112622,8001,0,0,1128,7,221,359,541,645
random,40,25,10,1,9542.56,1472.22,606.31,765.44,5.53,48103.0,TraCI requested termination.,10752.405,2.46484,1095.500216,8001,0,0,1145,14,138,505,488,607
random,40,25,10,2,9401.46,1351.1,492.9,649.16,7.35,42457.0,TraCI requested termination.,9602.306,2.17208,1125.78489,8001,0,0,1198,11,233,401,553,610
random,40,25,10,3,9440.17,1589.79,716.81,875.34,5.29,54526.0,TraCI requested termination.,8941.855,3.68223,1422.509871,8001,0,0,1149,14,143,466,526,640
random,40,25,10,4,9429.07,1719.05,841.02,1005.12,7.4,49477.0,TraCI requested termination.,10967.713,2.54173,1254.056429,8001,0,0,1167,14,193,468,492,617
random,40,25,10,5,9375.6,1419.0,550.93,711.55,5.29,45512.0,TraCI requested termination.,8936.944,2.67563,1270.394444,8001,0,0,1056,6,293,255,502,614
random,40,36,10,1,9299.07,1233.77,391.45,544.74,6.69,38013.0,TraCI requested termination.,14121.58,1.16226,699.027446,8001,0,0,997,9,273,242,473,596
random,40,36,10,2,9311.0,1268.03,413.66,569.93,7.31,39586.0,TraCI requested termination.,12776.868,1.4077,794.055554,8001,0,0,1019,11,182,317,509,595
random,40,36,10,3,9318.02,1277.67,431.51,585.22,5.85,43837.0,TraCI requested termination.,15002.338,1.48224,681.403925,8001,0,0,1175,6,296,366,507,596
random,40,36,10,4,9464.87,1279.56,418.0,573.32,5.52,40139.0,TraCI requested termination.,13687.88,1.35441,747.942779,8001,0,0,1066,13,194,361,498,585
random,40,36,10,5,9240.98,1236.32,399.94,551.39,5.94,42103.0,TraCI requested termination.,12631.409,1.62318,783.111528,8001,0,0,1119,11,245,324,539,642
random,40,49,10,1,9275.21,1226.27,370.12,527.31,6.46,39588.0,TraCI requested termination.,17092.631,1.05238,574.01052,8001,0,0,943,7,189,251,496,604
random,40,49,10,2,9145.74,1120.53,271.78,424.64,5.23,37425.0,TraCI requested termination.,16507.346,0.958664,543.115774,8001,0,0,952,9,218,276,449,632
random,40,49,10,3,9260.42,1252.5,394.54,550.25,5.55,38235.0,TraCI requested termination.,18507.69,0.898816,541.465953,8001,0,0,1051,13,106,421,511,587
random,40,49,10,4,9248.87,1279.03,426.68,581.96,9.65,38405.0,TraCI requested termination.,17500.658,0.96025,584.749442,8001,0,0,1050,14,205,383,448,578
random,40,49,10,5,9154.03,1206.9,356.58,509.14,5.36,38528.0,TraCI requested termination.,19572.209,0.8649,493.37318,8001,0,0,1012,9,276,259,468,611
random,40,9,10,1,9792.84,1722.92,834.93,1001.07,5.6,47764.0,TraCI requested termination.,3606.443,7.25479,3822.337966,8001,0,0,1172,10,365,296,501,613
