id,k,servidor,tempo_real_segundos,crossover_rate,mutation_rate,population_size,elitism_size,tournament_size,num_generations,estacoes,estacoes_ga,fitness,fitness_ga,seed,tempo_ag_segundos,tempo_refinamento_segundos,tempo_total_segundos,usou_local_search
0,27,3,991.2787671089172,0.7,0.08,200,4,5,150,"['174095579#2', '132540132#0', '-23536065#1', '-360679944#4', '24453703', '10272255#2', '-41143494#22', '-349767055#6', '-24878652#0', '26305972#1', '-86887413', '-33812628', '25346092#0', '-156378288#5', '203290351#0', '-144385863', '-5015536#4', '164553348#0', '-43521460#2', '132618461', '-12702483#1', '-24659229#1', '9250283#4', '208418195#3', '-22329247#1', '30733363#5', '25329233#0']","['174095579#2', '132540132#0', '-23536065#1', '-360679944#4', '24453703', '10272255#2', '-41143494#22', '-349767055#6', '-24878652#0', '26305972#1', '-86887413', '-33812628', '25346092#0', '-156378288#5', '203290351#0', '-144385863', '-5015536#4', '164553348#0', '-43521460#2', '132618461', '-12702483#1', '-24659229#1', '9250283#4', '208418195#3', '-22329247#1', '30733363#5', '25329233#0']",214787917,214787917,42,991.3,0.0,991.3,False
1,27,2,1718.7644622325897,0.7,0.08,200,4,5,250,"['174095579#2', '132540132#0', '-23536065#1', '-360679944#4', '254619262#4', '70564287#0', '-41143494#22', '-349767055#6', '-24878652#0', '26305972#1', '131487435', '-33812628', '27360700#1', '203284218#5', '23255288#0', '-144385863', '-5015536#4', '164553348#0', '-43521460#2', '132618461', '-12702483#1', '-24659229#1', '61733552#2', '208418195#3', '-22329247#1', '30733363#5', '25329233#0']","['174095579#2', '132540132#0', '-23536065#1', '-360679944#4', '254619262#4', '70564287#0', '-41143494#22', '-349767055#6', '-24878652#0', '26305972#1', '131487435', '-33812628', '27360700#1', '203284218#5', '23255288#0', '-144385863', '-5015536#4', '164553348#0', '-43521460#2', '132618461', '-12702483#1', '-24659229#1', '61733552#2', '208418195#3', '-22329247#1', '30733363#5', '25329233#0']",209192826,209192826,42,1718.8,0.0,1718.8,False
2,27,3,2312.3544068336487,0.7,0.08,200,4,5,350,"['174095579#2', '132540132#0', '-23536065#1', '-360679944#4', '254619262#4', '-43791772#0', '-41143494#22', '-349767055#6', '-24878652#0', '26305972#1', '-70537108', '-33812628', '27360700#1', '203284218#5', '23255288#0', '-144385863', '135810080#0', '164553348#0', '-43521460#2', '132618461', '-12702483#1', '-24659229#1', '61733552#2', '208418195#3', '-22329247#1', '30733363#5', '5005007#0']","['174095579#2', '132540132#0', '-23536065#1', '-360679944#4', '254619262#4', '-43791772#0', '-41143494#22', '-349767055#6', '-24878652#0', '26305972#1', '-70537108', '-33812628', '27360700#1', '203284218#5', '23255288#0', '-144385863', '135810080#0', '164553348#0', '-43521460#2', '132618461', '-12702483#1', '-24659229#1', '61733552#2', '208418195#3', '-22329247#1', '30733363#5', '5005007#0']",206773363,206773363,42,2312.4,0.0,2312.4,False
3,27,2,1037.6245880126953,0.7,0.08,200,4,7,150,"['70561768#0', '-24774079#1', '10211390#0', '10212092#0', '-25761342#2', '149760007', '51751505', '-25153880#7', '-36695796#1', '26309244#1', '-161800834', '172093128#1', '297047303', '25547658#0', '9953635#0', '132409797#0', '-305322825#5', '256226575#0', '26163661#3', '18223587#0', '132622369#0', '159689292', '32645481#1', '-23554624#2', '48807223#2', '218138109#4', '-358553688']","['70561768#0', '-24774079#1', '10211390#0', '10212092#0', '-25761342#2', '149760007', '51751505', '-25153880#7', '-36695796#1', '26309244#1', '-161800834', '172093128#1', '297047303', '25547658#0', '9953635#0', '132409797#0', '-305322825#5', '256226575#0', '26163661#3', '18223587#0', '132622369#0', '159689292', '32645481#1', '-23554624#2', '48807223#2', '218138109#4', '-358553688']",210586335,210586335,42,1037.6,0.0,1037.6,False
4,27,2,1722.8981776237488,0.7,0.08,200,4,7,250,"['-287871261#4', '-24774079#1', '-116915515#2', '10212092#0', '-25761342#2', '149760007', '51751505', '-25153880#7', '-176068075#0', '26309244#1', '-161800834', '172093128#1', '297047303', '25547658#0', '9953635#0', '132409797#0', '-305322825#5', '256226575#0', '26163661#3', '15491342#0', '132622369#0', '159689292', '-273583588', '-23554624#2', '48807223#2', '218138109#4', '-358553688']","['-287871261#4', '-24774079#1', '-116915515#2', '10212092#0', '-25761342#2', '149760007', '51751505', '-25153880#7', '-176068075#0', '26309244#1', '-161800834', '172093128#1', '297047303', '25547658#0', '9953635#0', '132409797#0', '-305322825#5', '256226575#0', '26163661#3', '15491342#0', '132622369#0', '159689292', '-273583588', '-23554624#2', '48807223#2', '218138109#4', '-358553688']",209106077,209106077,42,1722.9,0.0,1722.9,False
5,27,2,2393.4380259513855,0.7,0.08,200,4,7,350,"['-287871261#4', '-24774079#1', '-8107660#9', '10212092#0', '-25761342#2', '-254657834#2', '51751505', '-25153880#7', '-176068075#0', '-26266505', '-161800834', '171606004#5', '297047303', '25547658#0', '229784415#1', '132409797#0', '-305322825#5', '256226575#0', '26163661#3', '172071687', '132622369#0', '-26119348#5', '-273583588', '-23554624#2', '48807223#2', '157383245#1', '146779382#0']","['-287871261#4', '-24774079#1', '-8107660#9', '10212092#0', '-25761342#2', '-254657834#2', '51751505', '-25153880#7', '-176068075#0', '-26266505', '-161800834', '171606004#5', '297047303', '25547658#0', '229784415#1', '132409797#0', '-305322825#5', '256226575#0', '26163661#3', '172071687', '132622369#0', '-26119348#5', '-273583588', '-23554624#2', '48807223#2', '157383245#1', '146779382#0']",205006034,205006034,42,2393.4,0.0,2393.4,False
6,27,2,1013.4815359115601,0.7,0.08,200,4,10,150,"['48832598', '130542691#0', '-26497026', '-22873507#4', '-131486918#3', '148700865#3', '27361000#0', '-356007275#1', '-287871261#1', '-32570427#1', '-132648159#2', '263819228#0', '146900041', '22995391', '-39246309', '206255845#0', '132540177#0', '-16661909#2', '-24689036#14', '19801035#1', '-25845111#6', '5057255#0', '-80249229#12', '-14567595#8', '273320177#0', '-25780837#1', '-22917518#2']","['48832598', '130542691#0', '-26497026', '-22873507#4', '-131486918#3', '148700865#3', '27361000#0', '-356007275#1', '-287871261#1', '-32570427#1', '-132648159#2', '263819228#0', '146900041', '22995391', '-39246309', '206255845#0', '132540177#0', '-16661909#2', '-24689036#14', '19801035#1', '-25845111#6', '5057255#0', '-80249229#12', '-14567595#8', '273320177#0', '-25780837#1', '-22917518#2']",206521985,206521985,42,1013.5,0.0,1013.5,False
7,27,2,1693.3502659797668,0.7,0.08,200,4,10,250,"['48832598', '130542691#0', '-26497026', '28523795#0', '-131486918#3', '148700865#3', '27361000#0', '-356007275#1', '-287871261#1', '-23510616#3', '-132648159#2', '263819228#0', '-146779326#1', '22995391', '-39246309', '206255845#0', '132540177#0', '-16661909#2', '-24689036#14', '19801035#1', '-25845111#6', '5057255#0', '35149876', '-189909525#2', '273320177#0', '225296709#0', '-22917518#2']","['48832598', '130542691#0', '-26497026', '28523795#0', '-131486918#3', '148700865#3', '27361000#0', '-356007275#1', '-287871261#1', '-23510616#3', '-132648159#2', '263819228#0', '-146779326#1', '22995391', '-39246309', '206255845#0', '132540177#0', '-16661909#2', '-24689036#14', '19801035#1', '-25845111#6', '5057255#0', '35149876', '-189909525#2', '273320177#0', '225296709#0', '-22917518#2']",204758761,204758761,42,1693.3,0.0,1693.3,False
8,27,3,2348.692238807678,0.7,0.08,200,4,10,350,"['48832598', '130542691#0', '-26497026', '51857159', '-5980369#3', '148700865#3', '-24965986#6', '-28093174#2', '-287871261#1', '-23510616#3', '-132648159#2', '263819228#0', '135926830#0', '22995391', '-39246309', '206255845#0', '176886890#0', '-16661909#2', '-24689036#14', '25921640#0', '26163661#2', '5057255#0', '35149876', '-189909525#2', '24147038#0', '225296709#0', '-22917518#2']","['48832598', '130542691#0', '-26497026', '51857159', '-5980369#3', '148700865#3', '-24965986#6', '-28093174#2', '-287871261#1', '-23510616#3', '-132648159#2', '263819228#0', '135926830#0', '22995391', '-39246309', '206255845#0', '176886890#0', '-16661909#2', '-24689036#14', '25921640#0', '26163661#2', '5057255#0', '35149876', '-189909525#2', '24147038#0', '225296709#0', '-22917518#2']",202081327,202081327,42,2348.7,0.0,2348.7,False
9,27,3,991.9603888988495,0.7,0.08,200,8,5,150,"['43543427', '-24778478#2', '-5136150#0', '143980891', '177224166', '27361000#0', '51751505', '-249650665', '295518617#1', '8094063#1', '-36505692', '172093128#1', '-23750611#2', '161310417#0', '-23945153#3', '-26658511#1', '-287871261#1', '8658176#3', '235840007', '109235052#0', '59298853#0', '-24659229#1', '-129801393#2', '28514899#1', '-26751177#2', '30733363#5', '-8196623']","['43543427', '-24778478#2', '-5136150#0', '143980891', '177224166', '27361000#0', '51751505', '-249650665', '295518617#1', '8094063#1', '-36505692', '172093128#1', '-23750611#2', '161310417#0', '-23945153#3', '-26658511#1', '-287871261#1', '8658176#3', '235840007', '109235052#0', '59298853#0', '-24659229#1', '-129801393#2', '28514899#1', '-26751177#2', '30733363#5', '-8196623']",211645593,211645593,42,992.0,0.0,992.0,False
